AGEP,SEX,PINCP,PUMA,state
18,2,2400,03229,42
59,1,17200,03225,42
2,1,-19999,03216,42
21,2,2200,03225,42
47,1,0,03230,42
19,2,0,03228,42
18,2,0,03229,42
20,2,4300,03230,42
75,2,10500,03231,42
19,2,0,03224,42
18,1,500,03228,42
23,2,0,03216,42
63,1,0,03227,42
30,1,-1600,03223,42
29,1,0,03223,42
37,1,19070,03228,42
19,1,0,03228,42
66,2,7000,03227,42
13,1,-19999,03227,42
18,2,5400,03229,42
50,2,25600,03216,42
82,2,0,03222,42
68,1,0,03228,42
19,2,1000,03229,42
23,1,2030,03216,42
22,2,2800,03229,42
75,2,27000,03216,42
19,1,4000,03229,42
18,2,22000,03228,42
23,2,0,03230,42
71,2,0,03228,42
18,2,5400,03229,42
61,2,19200,03224,42
20,1,60300,03216,42
32,2,10100,03230,42
20,1,7000,03216,42
85,2,2600,03225,42
16,1,0,03227,42
63,2,27100,03224,42
22,2,2800,03229,42
20,1,750,03229,42
63,1,13000,03224,42
19,2,460,03227,42
77,2,0,03216,42
18,1,1500,03228,42
18,2,13000,03228,42
42,2,10900,03225,42
23,1,12600,03230,42
23,1,0,03223,42
48,2,9200,03229,42
22,2,8000,03216,42
18,1,22500,03216,42
62,1,0,03230,42
59,1,14100,03221,42
23,1,2030,03230,42
37,1,20000,03227,42
60,1,1800,03223,42
19,1,0,03224,42
20,1,0,03227,42
20,2,1100,03230,42
57,1,10000,03224,42
57,1,30000,03225,42
1,1,-19999,03227,42
19,1,42010,03227,42
21,1,0,03216,42
55,2,13000,03224,42
60,1,1800,03223,42
19,2,30000,03216,42
23,1,10000,03223,42
58,2,6000,03223,42
18,2,2700,03230,42
27,1,0,03223,42
0,1,-19999,03216,42
31,1,29700,03222,42
19,1,1500,03216,42
82,1,32200,03221,42
20,1,1200,03229,42
26,1,13200,03223,42
63,2,27100,03224,42
77,2,0,03223,42
20,2,4000,03216,42
67,2,16800,03222,42
75,2,9600,03230,42
61,1,13000,03221,42
24,1,3000,03230,42
48,2,9200,03229,42
19,2,1400,03227,42
62,1,12100,03230,42
70,1,9500,03224,42
37,1,0,03216,42
57,1,10370,03231,42
19,2,2700,03229,42
71,2,7200,03227,42
46,1,0,03230,42
2,1,-19999,03224,42
19,1,0,03228,42
68,2,0,03222,42
20,1,4500,03229,42
27,2,20000,03230,42
18,1,0,03225,42
21,2,2200,03229,42
20,1,8000,03229,42
46,1,360,03216,42
18,1,100,03229,42
18,1,100,03228,42
18,2,1000,03228,42
82,2,17600,03230,42
22,1,0,03223,42
18,1,10000,03228,42
27,1,35600,03229,42
18,1,1500,03228,42
85,2,2600,03227,42
20,1,5000,03216,42
75,2,27000,03231,42
18,1,5000,03228,42
19,1,0,03225,42
61,2,15400,03222,42
19,1,10000,03228,42
20,1,0,03229,42
15,1,0,03227,42
20,2,0,03229,42
18,2,10000,03228,42
19,1,0,03229,42
19,1,3000,03229,42
89,2,26000,03221,42
61,2,15400,03227,42
18,2,2700,03229,42
21,1,10000,03227,42
18,1,0,03229,42
19,1,1300,03228,42
32,1,0,03223,42
19,2,3000,03227,42
20,1,4300,03229,42
21,1,25000,03229,42
32,2,10100,03225,42
64,1,13000,03231,42
28,1,0,03223,42
19,1,0,03229,42
23,1,0,03224,42
20,1,1200,03216,42
95,2,17600,03221,42
79,2,9800,03229,42
47,1,0,03223,42
20,2,0,03229,42
40,1,25000,03221,42
71,2,2700,03227,42
19,1,6900,03229,42
73,2,13300,03221,42
25,2,45000,03229,42
22,2,880,03227,42
19,2,0,03229,42
19,2,580,03228,42
71,2,2700,03229,42
20,1,9000,03229,42
21,2,2200,03224,42
89,2,7200,03227,42
18,1,1500,03229,42
20,2,1100,03229,42
63,1,13000,03223,42
61,1,13000,03216,42
20,2,1100,03230,42
19,1,0,03229,42
19,1,6900,03227,42
19,2,3000,03230,42
48,1,15900,03227,42
82,1,32200,03227,42
30,1,4300,03224,42
36,2,9000,03228,42
40,1,0,03230,42
20,1,14000,03229,42
18,1,0,03229,42
53,2,7200,03227,42
20,2,1100,03227,42
74,2,9500,03229,42
74,2,9500,03222,42
15,1,0,03228,42
41,1,0,03223,42
21,1,3000,03229,42
25,1,4000,03230,42
79,2,9800,03223,42
2,1,-19999,03216,42
28,2,45000,03230,42
79,2,9800,03216,42
65,1,19100,03230,42
71,2,17600,03222,42
20,1,60300,03228,42
28,1,1200,03223,42
18,1,0,03229,42
20,2,6000,03216,42
18,2,5400,03227,42
19,2,0,03229,42
71,2,2700,03227,42
18,2,5400,03229,42
19,2,7000,03229,42
21,1,10000,03224,42
18,2,6000,03229,42
18,2,0,03229,42
19,2,12000,03229,42
20,1,60300,03229,42
19,1,0,03229,42
9,2,-19999,03216,42
69,2,6100,03227,42
22,2,880,03229,42
43,1,0,03230,42
21,1,0,03223,42
21,2,1100,03229,42
19,2,3000,03229,42
7,2,-19999,03228,42
77,2,0,03216,42
35,2,21900,03222,42
55,2,13000,03222,42
25,1,23400,03230,42
70,1,11500,03227,42
48,1,15900,03222,42
54,1,0,03223,42
18,2,5400,03230,42
95,2,19800,03221,42
20,1,0,03223,42
85,2,2600,03231,42
80,2,18200,03229,42
18,2,3000,03228,42
18,2,2400,03228,42
19,1,1000,03229,42
23,1,7000,03223,42
44,1,0,03223,42
18,2,0,03229,42
68,1,0,03229,42
62,2,13700,03222,42
19,2,3000,03229,42
20,1,5000,03229,42
40,1,0,03230,42
34,1,0,03225,42
18,2,0,03216,42
54,1,1000,03231,42
95,1,18700,03221,42
60,1,15600,03230,42
18,2,1400,03230,42
71,2,7200,03227,42
86,2,17600,03216,42
30,1,10100,03228,42
30,1,4300,03222,42
95,2,18000,03227,42
19,2,0,03216,42
95,2,33200,03221,42
95,2,33200,03221,42
20,1,0,03230,42
22,2,500,03228,42
18,2,7500,03228,42
35,1,20000,03231,42
20,2,5000,03229,42
85,2,12000,03227,42
20,2,500,03224,42
37,1,1000,03224,42
57,1,10000,03227,42
38,1,1300,03229,42
31,1,0,03224,42
35,1,0,03223,42
77,2,0,03223,42
50,1,20000,03228,42
75,2,27000,03223,42
19,2,3000,03229,42
57,1,30000,03228,42
2,1,-19999,03222,42
18,1,0,03229,42
20,1,3000,03227,42
18,2,0,03229,42
18,2,5400,03224,42
57,1,8800,03230,42
89,2,7200,03231,42
19,2,0,03229,42
85,2,13000,03216,42
83,2,9700,03223,42
20,1,0,03229,42
77,2,9500,03222,42
19,2,0,03216,42
19,2,22000,03228,42
31,1,0,03230,42
19,2,22000,03216,42
19,2,0,03229,42
19,2,0,03229,42
85,2,13000,03222,42
20,1,3000,03229,42
18,2,0,03229,42
61,1,13000,03216,42
95,1,18700,03221,42
70,1,9500,03216,42
38,1,26000,03223,42
57,1,10000,03228,42
35,1,20000,03223,42
84,2,28500,03231,42
19,1,1500,03229,42
35,1,20000,03216,42
20,1,0,03229,42
19,2,580,03228,42
19,1,0,03229,42
21,1,3000,03228,42
43,1,0,03230,42
54,1,1000,03229,42
57,1,0,03228,42
36,1,0,03223,42
20,2,880,03230,42
78,1,18700,03216,42
47,1,10600,03230,42
22,1,19000,03223,42
20,1,9000,03229,42
21,2,1100,03224,42
23,2,0,03229,42
19,1,3000,03229,42
60,2,16000,03225,42
19,1,0,03216,42
66,1,6200,03222,42
53,1,1000,03222,42
29,1,0,03223,42
30,1,12000,03231,42
21,2,1100,03229,42
63,1,13000,03225,42
18,2,2700,03216,42
20,1,5000,03227,42
19,1,0,03227,42
20,1,2030,03230,42
21,1,11200,03229,42
77,2,14700,03228,42
74,2,0,03227,42
19,1,6900,03230,42
20,1,5000,03229,42
19,1,0,03229,42
19,2,0,03228,42
79,2,18200,03222,42
54,1,20,03221,42
22,2,2800,03228,42
33,1,0,03228,42
95,2,19800,03227,42
28,1,1200,03230,42
20,2,6000,03216,42
89,2,7200,03216,42
95,2,18000,03216,42
20,2,1600,03228,42
18,1,22500,03229,42
66,1,11400,03221,42
20,1,14000,03229,42
73,2,9930,03224,42
83,2,0,03223,42
47,1,10600,03229,42
59,1,14100,03216,42
20,1,5000,03227,42
85,2,2600,03223,42
31,1,29700,03221,42
61,1,13000,03224,42
70,1,17600,03224,42
37,1,20000,03230,42
18,1,0,03228,42
34,1,1500,03225,42
58,2,6000,03230,42
60,1,13000,03228,42
18,1,1500,03229,42
95,2,13000,03229,42
47,1,10600,03229,42
18,1,6900,03229,42
30,1,690,03225,42
23,1,7000,03224,42
61,2,15400,03224,42
46,1,0,03225,42
73,2,0,03222,42
61,1,13000,03229,42
18,2,1400,03229,42
18,1,4800,03228,42
20,2,1100,03224,42
90,2,27900,03221,42
33,1,0,03223,42
95,1,0,03224,42
78,1,1300,03227,42
13,1,-19999,03223,42
78,1,18700,03230,42
19,2,0,03227,42
83,2,9700,03227,42
79,2,9800,03224,42
31,2,22000,03222,42
20,2,880,03229,42
48,1,0,03225,42
63,1,12100,03216,42
56,1,12100,03227,42
95,2,18000,03224,42
38,1,26000,03223,42
19,2,7000,03228,42
20,1,0,03229,42
18,1,6200,03228,42
80,2,8900,03231,42
20,2,880,03229,42
18,2,3000,03224,42
57,1,10370,03228,42
20,2,0,03227,42
20,1,7000,03229,42
18,2,0,03216,42
19,1,42010,03225,42
18,1,1500,03229,42
95,2,19800,03227,42
35,1,0,03230,42
19,2,0,03216,42
54,1,1000,03230,42
13,1,-19999,03216,42
20,2,2200,03229,42
30,1,690,03225,42
20,1,0,03229,42
50,1,1200,03223,42
20,1,10000,03229,42
19,2,2000,03228,42
16,2,0,03228,42
63,1,13000,03224,42
16,2,0,03227,42
18,1,0,03229,42
19,2,1400,03229,42
20,2,5000,03227,42
35,1,20000,03229,42
22,1,4000,03230,42
68,1,0,03216,42
7,2,-19999,03225,42
42,2,10900,03225,42
73,2,0,03216,42
36,1,0,03223,42
18,1,2000,03228,42
32,1,0,03230,42
36,1,0,03223,42
33,1,0,03223,42
47,1,0,03231,42
63,1,12100,03222,42
43,2,18800,03231,42
18,2,0,03224,42
19,2,0,03229,42
19,1,0,03229,42
18,1,22500,03224,42
33,1,10100,03228,42
74,2,13000,03216,42
95,2,19800,03216,42
22,2,8000,03216,42
66,2,7000,03224,42
20,2,880,03228,42
20,1,60300,03228,42
87,1,45000,03222,42
77,2,18000,03222,42
20,1,0,03224,42
73,2,0,03228,42
37,1,0,03216,42
71,2,2700,03229,42
18,2,0,03227,42
18,1,1500,03229,42
82,2,0,03227,42
18,1,0,03227,42
18,1,4800,03229,42
31,1,29700,03216,42
18,2,1000,03228,42
30,1,10100,03227,42
22,2,880,03227,42
0,1,-19999,03230,42
2,1,-19999,03227,42
19,1,0,03224,42
88,2,8900,03222,42
2,1,-19999,03231,42
64,1,330,03227,42
18,2,0,03229,42
19,2,0,03229,42
18,2,2200,03230,42
73,2,7200,03216,42
19,2,0,03230,42
19,1,1300,03227,42
20,1,7000,03224,42
75,2,27000,03223,42
20,2,500,03230,42
18,2,7000,03216,42
0,1,-19999,03222,42
22,2,880,03229,42
21,2,20000,03230,42
22,2,880,03229,42
19,2,580,03224,42
18,2,5400,03229,42
64,1,13000,03224,42
29,1,0,03223,42
19,1,10000,03229,42
19,2,2000,03228,42
13,1,-19999,03230,42
20,2,2200,03230,42
26,1,0,03230,42
55,1,12000,03224,42
